model,regime,seed,cp_method,regime_label,coverage,winkler,skill,skill_iqr,n_countries,regime_kind
arma,L,42,aci_cqr,hiking,0.75,0.2403052117823667,0.15020602040674258,0.4800502630742038,10,calendar
arma,L,42,aci_cqr,qe,0.8453333333333334,0.5532999752022425,-0.008377887106916337,0.12313271273887749,10,calendar
arma,L,42,agaci_cqr,hiking,0.7711538461538462,0.24452723637101761,0.1498836260375831,0.4528885157748519,10,calendar
arma,L,42,agaci_cqr,qe,0.8093333333333333,0.5450887718257718,-0.009550662921730901,0.117768042542852,10,calendar
arma,L,42,cqr_rolling,hiking,0.7788461538461539,0.23679533140075112,0.16620350740082374,0.4501643384758619,10,calendar
arma,L,42,cqr_rolling,qe,0.86,0.5700835152542406,-0.018748531877297192,0.10502024241055394,10,calendar
arma,L,42,cqr_static,hiking,0.9442307692307692,0.8739244639930103,-0.40242925785471517,0.9809228398757139,10,calendar
arma,L,42,cqr_static,qe,0.9226666666666666,0.9864821145634309,-0.10647000534461559,0.6083628418916336,10,calendar
arma,L,42,decay_ocp_cqr,hiking,0.9384615384615385,0.46260687367598985,-0.06683694490932468,0.19052141828059566,10,calendar
arma,L,42,decay_ocp_cqr,qe,0.9106666666666666,0.7398406836554718,-0.08536695951945783,0.21510911173075703,10,calendar
arma,L,42,dtaci_cqr,hiking,0.7788461538461539,0.23890767401556973,0.1436145914206225,0.453842089775789,10,calendar
arma,L,42,dtaci_cqr,qe,0.836,0.5434027333018189,-0.010775415759677665,0.13049094886947007,10,calendar
arma,L,42,mondrian_cqr,hiking,0.8423076923076923,0.26660412351115265,0.050144507209075706,0.5312985510216548,10,calendar
arma,L,42,mondrian_cqr,qe,0.864,0.6150756496771246,-0.12425044852319811,0.12242424348537445,10,calendar
arma,L,42,native,hiking,0.9384615384615385,0.40074834796610703,-0.025442667532704966,0.06798994007664427,10,calendar
arma,L,42,native,qe,0.88,0.6035436691094277,-0.040323436396070056,0.06742763313799466,10,calendar
arma,L,42,pid_cqr,hiking,0.8,0.26669803102698203,0.12400559759180241,0.39629887748799464,10,calendar
arma,L,42,pid_cqr,qe,0.8253333333333334,0.5568913628120894,0.0007237246828719623,0.10255049965338286,10,calendar
arma,L,42,pid_local_cqr,hiking,0.801923076923077,0.33749463534295654,0.06481748317653929,0.29163012458295834,10,calendar
arma,L,42,pid_local_cqr,qe,0.8293333333333334,0.5840648272766017,-0.012126568979300312,0.08882062263860532,10,calendar
arma,L,42,pid_tan_cqr,hiking,0.801923076923077,0.285849017017071,0.05572455629095818,0.4967435080453883,10,calendar
arma,L,42,pid_tan_cqr,qe,0.828,0.5868113030982819,-0.09989838156154551,0.13206657000473587,10,calendar
arma,L,42,saocp_cqr,hiking,0.95,0.4076819225608269,-0.06472787822654336,0.07110985272556636,10,calendar
arma,L,42,saocp_cqr,qe,0.9146666666666666,0.6717263990731401,-0.09159163876939524,0.06280680211638484,10,calendar
arma,L,42,sfogd_cqr,hiking,0.7884615384615384,0.3274507852113975,0.08384409647308877,0.251859393635122,10,calendar
arma,L,42,sfogd_cqr,qe,0.812,0.6123595867956849,-0.05060836121939449,0.11758872376884921,10,calendar
arma,L,42,spci_cqr,hiking,0.7173076923076923,0.253880481484301,0.08862352524046696,0.4735274301878045,10,calendar
arma,L,42,spci_cqr,qe,0.7826666666666666,0.5819595646665259,-0.001331037403320412,0.15523810352967218,10,calendar
arma_monthly,L,42,aci_cqr,hiking,0.7461538461538462,0.24179503953171397,0.13453172536381208,0.48316429218380996,10,calendar
arma_monthly,L,42,aci_cqr,qe,0.8413333333333334,0.5455480256831965,-0.016812986327756962,0.11658955846021674,10,calendar
arma_monthly,L,42,agaci_cqr,hiking,0.7730769230769231,0.24214996021237076,0.14511203119562366,0.45689106922005346,10,calendar
arma_monthly,L,42,agaci_cqr,qe,0.8186666666666667,0.5461919194626589,-0.025417210859067785,0.1334881101685508,10,calendar
arma_monthly,L,42,cqr_rolling,hiking,0.775,0.23753434764727935,0.1576446736024742,0.4605180017451499,10,calendar
arma_monthly,L,42,cqr_rolling,qe,0.856,0.5605234919744921,-0.025364366496213986,0.12443674001987201,10,calendar
arma_monthly,L,42,cqr_static,hiking,0.9403846153846154,0.7152261568953969,-0.12866531077385646,0.3988077456338169,10,calendar
arma_monthly,L,42,cqr_static,qe,0.9146666666666666,0.8442606668096131,-0.07303672961346064,0.1660943966043384,10,calendar
arma_monthly,L,42,decay_ocp_cqr,hiking,0.9288461538461539,0.41286377353102865,-0.024723452729668804,0.187330990794332,10,calendar
arma_monthly,L,42,decay_ocp_cqr,qe,0.8973333333333333,0.682296983209903,-0.04488837123946665,0.1072185019968348,10,calendar
