country,model,regime,seed,cp_method,mcs_pval,in_mcs
FR,lgbm_const,G,42,cqr_rolling,0.195,True
FR,lgbm_const,L,42,aci_cqr,0.195,True
FR,lstm,G,43,pid_cqr,0.195,True
FR,lstm,GF,43,pid_cqr,0.195,True
FR,lstm,GI,44,pid_local_cqr,0.195,True
FR,lstm,L,42,pid_cqr,0.195,True
FR,lstm_const,G,43,agaci_cqr,0.195,True
FR,lstm_const,GF,43,agaci_cqr,0.195,True
FR,lstm_const,L,44,aci_cqr,0.195,True
FR,rw,L,42,aci_cqr,0.195,True
FR,rw,L,42,native,0.195,True
FR,tirex,ZS,42,native,0.195,True
FR,tirex2,ZS,42,cqr_static,0.195,True
FR,tirex2_cov,ZS,42,native,0.195,True
FR,xlstm,G,43,pid_cqr,0.195,True
FR,xlstm,GF,43,cqr_rolling,0.195,True
FR,xlstm,GI,42,native,0.195,True
FR,xlstm,L,44,native,0.195,True
FR,xlstm_const,G,44,pid_cqr,0.195,True
FR,xlstm_const,GF,43,dtaci_cqr,0.195,True
FR,xlstm_const,L,42,spci_cqr,0.195,True
GR,rw,L,42,native,0.005,False
GR,lstm,G,43,pid_cqr,0.095,False
GR,arma,L,42,dtaci_cqr,0.189,True
GR,arma_monthly,L,42,dtaci_cqr,0.189,True
GR,lgbm,G,42,decay_ocp_cqr,0.189,True
GR,lgbm,GI,42,cqr_rolling,0.189,True
GR,lgbm,L,42,native,0.189,True
GR,lgbm_const,G,42,cqr_rolling,0.189,True
GR,lgbm_const,L,42,aci_cqr,0.189,True
GR,lstm,GF,43,pid_cqr,0.189,True
GR,lstm,GI,44,pid_local_cqr,0.189,True
GR,lstm,L,42,pid_cqr,0.189,True
GR,lstm_const,G,43,agaci_cqr,0.189,True
GR,lstm_const,GF,43,agaci_cqr,0.189,True
GR,lstm_const,L,44,aci_cqr,0.189,True
GR,rw,L,42,aci_cqr,0.189,True
GR,tirex,ZS,42,native,0.189,True
GR,tirex2,ZS,42,cqr_static,0.189,True
GR,tirex2_cov,ZS,42,native,0.189,True
GR,xlstm,G,43,pid_cqr,0.189,True
GR,xlstm,GF,43,cqr_rolling,0.189,True
GR,xlstm,GI,42,native,0.189,True
GR,xlstm,L,44,native,0.189,True
GR,xlstm_const,G,44,pid_cqr,0.189,True
GR,xlstm_const,GF,43,dtaci_cqr,0.189,True
GR,xlstm_const,L,42,spci_cqr,0.189,True
IE,rw,L,42,native,0.0,False
IE,lstm,GF,43,pid_cqr,0.0,False
IE,lstm,G,43,pid_cqr,0.0,False
IE,xlstm,GI,42,native,0.002,False
IE,xlstm,GF,43,cqr_rolling,0.003,False
IE,xlstm,G,43,pid_cqr,0.028,False
IE,lstm,GI,44,pid_local_cqr,0.028,False
IE,lgbm,GI,42,cqr_rolling,0.028,False
IE,arma,L,42,dtaci_cqr,0.118,True
IE,arma_monthly,L,42,dtaci_cqr,0.118,True
IE,lgbm,G,42,decay_ocp_cqr,0.118,True
IE,lgbm,L,42,native,0.118,True
IE,lgbm_const,G,42,cqr_rolling,0.118,True
IE,lgbm_const,L,42,aci_cqr,0.118,True
IE,lstm,L,42,pid_cqr,0.118,True
IE,lstm_const,G,43,agaci_cqr,0.118,True
IE,lstm_const,GF,43,agaci_cqr,0.118,True
IE,lstm_const,L,44,aci_cqr,0.118,True
IE,rw,L,42,aci_cqr,0.118,True
IE,tirex,ZS,42,native,0.118,True
IE,tirex2,ZS,42,cqr_static,0.118,True
IE,tirex2_cov,ZS,42,native,0.118,True
IE,xlstm,L,44,native,0.118,True
IE,xlstm_const,G,44,pid_cqr,0.118,True
IE,xlstm_const,GF,43,dtaci_cqr,0.118,True
IE,xlstm_const,L,42,spci_cqr,0.118,True
IT,lgbm_const,L,42,aci_cqr,0.021,False
IT,arma,L,42,dtaci_cqr,0.297,True
IT,arma_monthly,L,42,dtaci_cqr,0.297,True
IT,lgbm,G,42,decay_ocp_cqr,0.297,True
IT,lgbm,GI,42,cqr_rolling,0.297,True
IT,lgbm,L,42,native,0.297,True
IT,lgbm_const,G,42,cqr_rolling,0.297,True
IT,lstm,G,43,pid_cqr,0.297,True
