high_vix,low_vix,high_minus_low,is_complex
-0.03035019080868062,-0.011022978466624589,-0.019327212342056033,False
-0.027355461604335773,-0.011135797716934515,-0.01621966388740126,False
0.01830346228864088,0.06403507999422675,-0.04573161770558587,True
-0.014572617531913634,0.031684130804495225,-0.04625674833640886,False
-0.04847244314357524,0.00323296719307109,-0.05170541033664633,True
-0.024539541669579168,0.04528426689089421,-0.06982380856047338,False
-0.011399054787454732,0.03765186248064223,-0.04905091726809696,False
0.018523797530502872,0.11909319121303902,-0.10056939368253615,True
-0.0025036946745686794,0.12545363624670824,-0.12795733092127692,True
-0.0019804967391624517,0.12047350529716977,-0.12245400203633222,True
-0.09180620240882065,-0.027067225130480876,-0.06473897727833977,True
-0.0316896840559554,-0.0241330953833071,-0.007556588672648301,False
