label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
XM lgbm/G/decay_ocp_cqr vs lstm_const/G/agaci_cqr,XM,lgbm/G/42/decay_ocp_cqr,lstm_const/G/43/agaci_cqr,-0.004830598356238501,0.5,0.2,0.4863493854896054,0.13596664898955865,10,0.712008937823292,0.0
XM lgbm/G/decay_ocp_cqr vs lgbm_const/G/cqr_rolling,XM,lgbm/G/42/decay_ocp_cqr,lgbm_const/G/42/cqr_rolling,-0.028200889665034288,0.9,0.3,0.3758757327649934,-1.5764784266558072,10,0.6353952861015698,0.0
XM lgbm/G/decay_ocp_cqr vs xlstm/L/native,XM,lgbm/G/42/decay_ocp_cqr,xlstm/L/44/native,-0.03703535445464842,0.9,0.0,0.37420722260213823,-1.8699517990756949,10,0.6350752489421956,0.0
XM lgbm/G/decay_ocp_cqr vs rw/L/aci_cqr,XM,lgbm/G/42/decay_ocp_cqr,rw/L/42/aci_cqr,-0.01397672451667225,0.6,0.4,0.4465484673311356,-0.31923391219071573,10,0.6798200309363696,0.2
XM lgbm/G/decay_ocp_cqr vs xlstm_const/L/spci_cqr,XM,lgbm/G/42/decay_ocp_cqr,xlstm_const/L/42/spci_cqr,-0.09000129147490649,0.7,0.6,0.08061060829046873,-2.918756258280536,10,0.26974706569637386,0.2
XM lgbm/G/decay_ocp_cqr vs lstm/L/pid_cqr,XM,lgbm/G/42/decay_ocp_cqr,lstm/L/42/pid_cqr,-0.040465254915407825,0.8,0.2,0.2350461072468294,-1.7843869918704358,10,0.5053819551848343,0.0
XM lgbm/G/decay_ocp_cqr vs arma_monthly/L/dtaci_cqr,XM,lgbm/G/42/decay_ocp_cqr,arma_monthly/L/42/dtaci_cqr,-0.025102981609408936,0.8,0.3,0.1552957784722817,-1.3702215237165813,10,0.40242964920060953,0.3
XM lgbm/G/decay_ocp_cqr vs arma/L/dtaci_cqr,XM,lgbm/G/42/decay_ocp_cqr,arma/L/42/dtaci_cqr,-0.03091853305092085,0.8,0.4,0.1372895976019043,-1.3794505363125051,10,0.36996686570824655,0.3
XM tirex/ZS/native vs lstm_const/G/agaci_cqr,XM,tirex/ZS/42/native,lstm_const/G/43/agaci_cqr,-0.029687853612432723,0.7,0.2,0.37372552599945796,-1.5996308480393064,10,0.6345985286734863,0.1
XM tirex/ZS/native vs lgbm_const/G/cqr_rolling,XM,tirex/ZS/42/native,lgbm_const/G/42/cqr_rolling,-0.061678502032573676,0.8,0.4,0.2760981363629218,-2.303061001589813,10,0.5271344259081953,0.2
XM tirex/ZS/native vs xlstm/L/native,XM,tirex/ZS/42/native,xlstm/L/44/native,-0.058010193690856485,0.8,0.4,0.2523315308783213,-2.3872992242179287,10,0.49405449032603904,0.3
XM tirex/ZS/native vs rw/L/aci_cqr,XM,tirex/ZS/42/native,rw/L/42/aci_cqr,-0.022162234182261813,0.9,0.1,0.608886666222559,-1.690345325180316,10,0.7887836127507808,0.1
XM tirex/ZS/native vs xlstm_const/L/spci_cqr,XM,tirex/ZS/42/native,xlstm_const/L/42/spci_cqr,-0.10101116922917988,1.0,0.6,0.07777584822562411,-3.2604012539607514,10,0.26323706494188576,0.2
XM tirex/ZS/native vs lstm/L/pid_cqr,XM,tirex/ZS/42/native,lstm/L/42/pid_cqr,-0.06637565162028428,1.0,0.3,0.2149309358791045,-2.8839362676044686,10,0.48308553233242996,0.1
XM tirex/ZS/native vs arma_monthly/L/dtaci_cqr,XM,tirex/ZS/42/native,arma_monthly/L/42/dtaci_cqr,-0.04674742950153127,0.9,0.3,0.26302902825746743,-2.408412837863063,10,0.529446245239123,0.1
XM tirex/ZS/native vs arma/L/dtaci_cqr,XM,tirex/ZS/42/native,arma/L/42/dtaci_cqr,-0.06178076578530381,1.0,0.3,0.24921198618827334,-2.3491322759117295,10,0.5195918315166119,0.1
XM lstm_const/G/agaci_cqr vs lgbm_const/G/cqr_rolling,XM,lstm_const/G/43/agaci_cqr,lgbm_const/G/42/cqr_rolling,-0.02093289460438246,0.8,0.2,0.5382847816418064,-1.4898650100431077,10,0.743938954595341,0.1
XM lstm_const/G/agaci_cqr vs xlstm/L/native,XM,lstm_const/G/43/agaci_cqr,xlstm/L/44/native,-0.038340318525127516,0.7,0.2,0.37409836767254645,-1.5132209713785747,10,0.6319071389268396,0.0
XM lstm_const/G/agaci_cqr vs rw/L/aci_cqr,XM,lstm_const/G/43/agaci_cqr,rw/L/42/aci_cqr,-0.005130328607927949,0.6,0.1,0.44277699779046487,-0.614516072104251,10,0.683636674179727,0.0
XM lstm_const/G/agaci_cqr vs xlstm_const/L/spci_cqr,XM,lstm_const/G/43/agaci_cqr,xlstm_const/L/42/spci_cqr,-0.08026464261462674,0.8,0.5,0.1302152950915194,-2.429638362681189,10,0.3523545730645433,0.2
