pool_mode,model,regime,seed,cp_method,country,n,coverage,cov_se_mbb,cov_first36,cov_rest,winkler,width,under_pen,over_pen,tail_asym,pinball,skill,mae_ratio,rmse_ratio,dir_acc,pt_stat,pt_p,crossed_cal_rate
rolling,arma,L,42,native,AT,127,0.8976377952755905,0.028985069654066872,0.8333333333333334,0.9230769230769231,0.1848756577631448,0.1447419027000913,0.023309922271149145,0.016823832791904324,0.6923076923076923,0.011606226068381399,-0.06674314048860075,1.023843652208503,1.045569687429849,0.5669291338582677,1.2121221100858084,0.22546564132146996,0.0
rolling,arma,L,42,native,BE,127,0.9291338582677166,0.028805456082993043,0.8333333333333334,0.967032967032967,0.21778654800097774,0.19659771363566805,0.008006045393695744,0.013182788971613915,0.5555555555555556,0.013895532979317834,-0.0023807168477805174,1.0093049522984734,1.022322993057053,0.5669291338582677,1.5573790789889352,0.11938051025305851,0.0
rolling,arma,L,42,native,ES,127,0.9448818897637795,0.022497873312824445,0.8888888888888888,0.967032967032967,0.409698495869221,0.38326198416731494,0.015948713164965798,0.010487798536940216,0.5714285714285714,0.024282754328759225,-0.030914715569432705,1.0168425220942259,1.0029309852226997,0.5196850393700787,0.3476253649923401,0.7281215544850719,0.0
rolling,arma,L,42,native,FI,127,0.8346456692913385,0.03832850450340887,0.8611111111111112,0.8241758241758241,0.18957511409094815,0.11308863630913661,0.026142457447981233,0.0503440203338304,0.42857142857142855,0.012373107476921634,-0.07205690181364122,1.1150833936437514,1.0776363783354919,0.48031496062992124,-0.4007763418061101,0.688584798599406,0.0
rolling,arma,L,42,native,FR,127,0.8582677165354331,0.033782658217637436,0.7777777777777778,0.8901098901098901,0.19949133858267723,0.1392708661417322,0.024409448818897575,0.03581102362204737,0.5,0.01299879265091864,0.0,1.0,1.0,0.48031496062992124,,,0.0
rolling,arma,L,42,native,GR,127,0.9291338582677166,0.027913000094707922,0.7777777777777778,0.989010989010989,1.966605525823675,1.6718134623816003,0.22298509688705243,0.07180696655502244,0.7777777777777778,0.10657510919135867,-0.11359316298056288,1.1004947489048718,1.1396955509262598,0.4881889763779528,-0.8420484532235551,0.39976083253937666,0.0
rolling,arma,L,42,native,IE,127,0.9921259842519685,0.008326335831893067,1.0,0.989010989010989,0.4391361732237501,0.43825253388537116,0.0,0.0008836393383788791,0.0,0.022623424126332486,-0.06398964441177024,1.0085340821052633,1.0109560520209426,0.5354330708661418,0.6913308699697547,0.4893576364571166,0.0
rolling,arma,L,42,native,IT,127,0.8267716535433071,0.04670505026312249,0.7222222222222222,0.8681318681318682,0.6865139309143475,0.40048523576189804,0.10789891925395215,0.17812977589849735,0.5,0.04371809200964822,-0.023670785736517708,1.017936154534977,1.0077063685728038,0.5039370078740157,-0.19566595028273534,0.8448716369504892,0.0
rolling,arma,L,42,native,NL,127,0.8661417322834646,0.029884819136703145,0.8611111111111112,0.8681318681318682,0.15759957545852427,0.10776859553246833,0.009074680279495116,0.04075629964656085,0.5294117647058824,0.00973382786561737,-0.03899221777577799,1.0271202217069548,1.035489115554286,0.6062992125984252,2.3972476848313415,0.016518753346983717,0.0
rolling,arma,L,42,native,PT,127,0.9606299212598425,0.02087926394004627,0.9166666666666666,0.978021978021978,0.7538112841660131,0.6796516060871121,0.04007812361525364,0.03408155446364731,0.6,0.040382170414800383,-0.018479665192332906,0.951961939092717,0.982298243592309,0.6141732283464567,2.0141760182002355,0.04399105659908531,0.0
rolling,arma_monthly,L,42,native,AT,127,0.889763779527559,0.030191594884063044,0.8333333333333334,0.9120879120879121,0.18265502236424427,0.14313404118175704,0.021897365507090892,0.01762361567539633,0.6428571428571429,0.011467461041889268,-0.053929946972674614,1.011666727352294,1.035856617567915,0.5826771653543307,1.684685321618342,0.09204929995578337,0.0
rolling,arma_monthly,L,42,native,BE,127,0.9291338582677166,0.02974986034469408,0.8333333333333334,0.967032967032967,0.21379515764720478,0.19411631538814603,0.0063210523542339345,0.013357789904824804,0.5555555555555556,0.013757496451558054,0.01598998951933772,1.0085459664367735,1.0195111560834513,0.5669291338582677,1.5573790789889352,0.11938051025305851,0.0
rolling,arma_monthly,L,42,native,ES,127,0.9448818897637795,0.022497873312824445,0.8888888888888888,0.967032967032967,0.4047176328396136,0.37803913189875543,0.01584773034529395,0.010830770595564228,0.5714285714285714,0.024105344871329926,-0.018381486755487675,1.015753474548188,1.002244033214912,0.5196850393700787,0.3476253649923401,0.7281215544850719,0.0
rolling,arma_monthly,L,42,native,FI,127,0.8346456692913385,0.03831656253300857,0.8611111111111112,0.8241758241758241,0.18580600905720265,0.1121635432684148,0.026961813022883047,0.046680652765904836,0.47619047619047616,0.012151600163108891,-0.05074242135314733,1.097424871703173,1.0686943427786044,0.4645669291338583,-0.8356975980720761,0.40332504687263615,0.0
rolling,arma_monthly,L,42,native,FR,127,0.8503937007874016,0.03342288885545749,0.7777777777777778,0.8791208791208791,0.19921968503937007,0.13858976377952756,0.02417322834645664,0.036456692913385824,0.47368421052631576,0.0129897375328084,0.0013617310166805785,1.0,1.0,0.48031496062992124,,,0.0
rolling,arma_monthly,L,42,native,GR,127,0.9212598425196851,0.029326715203325342,0.7777777777777778,0.978021978021978,1.932116072241193,1.6483891635275325,0.20920056292012132,0.07452634579353905,0.8,0.1052596243172174,-0.09406346106522756,1.0960458208278188,1.130589302190616,0.49606299212598426,-0.6915453104911058,0.48922291656627626,0.0
rolling,arma_monthly,L,42,native,IE,127,0.9921259842519685,0.008326335831893067,1.0,0.989010989010989,0.43000268961625077,0.4290942347496789,0.0,0.0009084548665719042,0.0,0.022319464499153015,-0.04185998949301584,1.008595944659291,1.0109492931260706,0.5354330708661418,0.6913308699697547,0.4893576364571166,0.0
rolling,arma_monthly,L,42,native,IT,127,0.8267716535433071,0.04670505026312249,0.7222222222222222,0.8681318681318682,0.6916084108386474,0.39919167560889063,0.11168202589302767,0.18073470933672917,0.5,0.04401174773495322,-0.03126723794555186,1.023986800380399,1.0135985137028256,0.49606299212598426,-0.35015606986226033,0.726221573429674,0.0
rolling,arma_monthly,L,42,native,NL,127,0.8582677165354331,0.029914114463960702,0.8611111111111112,0.8571428571428571,0.15757644056826878,0.10537952562041124,0.011319745198103453,0.04087716974975408,0.5555555555555556,0.00979991158591854,-0.038839698513815524,1.0424461606606197,1.0352733342510558,0.6299212598425197,2.8488200755251305,0.004388168897887512,0.0
rolling,arma_monthly,L,42,native,PT,127,0.9606299212598425,0.02087926394004627,0.9166666666666666,0.978021978021978,0.7400740706040604,0.6614655277965807,0.042525783743898815,0.036082759063580876,0.6,0.03993387170550373,8.077952790264131e-05,0.9525615302801335,0.9835945359885715,0.6141732283464567,2.0141760182002355,0.04399105659908531,0.0
rolling,lgbm,G,42,native,AT,127,0.905511811023622,0.02721091860777202,0.8333333333333334,0.9340659340659341,0.15650335733744897,0.12885557807103812,0.004787404772587297,0.02286037449382351,0.4166666666666667,0.010674843029100335,0.09696665897979839,1.0265445172906955,1.021205511241468,0.5905511811023622,1.4150799311566116,0.15704506162732246,0.0
rolling,lgbm,G,42,native,BE,127,0.8976377952755905,0.03626552202621152,0.8055555555555556,0.9340659340659341,0.18828088024874895,0.1611800036659103,0.011928347270343854,0.015172529312494874,0.6153846153846154,0.013353949969765565,0.13342157518551234,1.0765220596094076,1.0562438130092553,0.5590551181102362,0.8793328927935935,0.3792208062404181,0.0
