label,rq,country,n,dbar,dbar_norm,t_hln,p_hln,q_hln
RQ3 arma/L: aci_cqr vs native,RQ3,AT,127,-0.005884954738941432,-0.033956526109534854,-1.077011265997669,0.28353297823533063,0.4476816839224383
RQ3 arma/L: aci_cqr vs native,RQ3,BE,127,-0.024428839665003702,-0.11243576814053718,-2.97608210881317,0.003501240932563654,0.014562270811761585
RQ3 arma/L: aci_cqr vs native,RQ3,ES,127,-0.07234186968754897,-0.18203214989714409,-4.4780747737328275,1.667262361126909e-05,0.00013365922266030225
RQ3 arma/L: aci_cqr vs native,RQ3,FI,127,0.0060298522905745605,0.034099121058294594,1.1070451304054598,0.27038340691108,0.43290459586199065
RQ3 arma/L: aci_cqr vs native,RQ3,FR,127,0.0012440944881889193,0.006236333351752595,0.2384039769321872,0.8119550723396578,0.8927488186133924
RQ3 arma/L: aci_cqr vs native,RQ3,GR,127,-0.4975673930953259,-0.28174824071082993,-4.885527013393341,3.0695245478717936e-06,2.8483180982851933e-05
RQ3 arma/L: aci_cqr vs native,RQ3,IE,127,-0.19172125508756319,-0.4645243149278374,-11.425070920012901,0.0,0.0
RQ3 arma/L: aci_cqr vs native,RQ3,IT,127,0.04314983062960054,0.06434133239826687,1.473934861029316,0.14299316792433747,0.27434480297618663
RQ3 arma/L: aci_cqr vs native,RQ3,NL,127,-0.0012112714433035706,-0.007985437775101408,-0.5411477282351007,0.5893612460922901,0.7331794784554485
RQ3 arma/L: aci_cqr vs native,RQ3,PT,127,-0.21091544759566805,-0.28496932715565243,-4.751057215328307,5.420573070846757e-06,4.794827029382153e-05
RQ3 arma/L: agaci_cqr vs native,RQ3,AT,127,-0.007825109485347927,-0.045151330186267755,-1.4126066782778615,0.1602366867556615,0.29773225492088845
RQ3 arma/L: agaci_cqr vs native,RQ3,BE,127,-0.02312667940899797,-0.10644246716374842,-2.7018741932176713,0.00784506737160151,0.028600376961851394
RQ3 arma/L: agaci_cqr vs native,RQ3,ES,127,-0.07145703573260523,-0.17980566297033296,-3.780963724446272,0.00024007920233781732,0.0014416294409612203
RQ3 arma/L: agaci_cqr vs native,RQ3,FI,127,0.0027075709548679155,0.015311451311714633,0.5786349203786297,0.5638684236526008,0.713475495027959
RQ3 arma/L: agaci_cqr vs native,RQ3,FR,127,0.001922067090338197,0.009634839808053196,0.3338929087539949,0.7390154273401781,0.8445697399102228
RQ3 arma/L: agaci_cqr vs native,RQ3,GR,127,-0.49641971979410227,-0.28109836907933294,-5.211725689456493,7.426191959147843e-07,7.742332017508896e-06
RQ3 arma/L: agaci_cqr vs native,RQ3,IE,127,-0.18951873104081912,-0.4591877862604312,-10.470805204913402,0.0,0.0
RQ3 arma/L: agaci_cqr vs native,RQ3,IT,127,0.030013688408213942,0.04475384200108921,0.8438716415597473,0.40034041976368817,0.5689215886731671
RQ3 arma/L: agaci_cqr vs native,RQ3,NL,127,-0.0007269654484897698,-0.004792598212115906,-0.3466667456994351,0.7294199706320845,0.8377430283397459
RQ3 arma/L: agaci_cqr vs native,RQ3,PT,127,-0.23042066815871456,-0.311322966223994,-5.4253915948353795,2.847994178267754e-07,3.2017504308338658e-06
RQ3 arma/L: cqr_rolling vs native,RQ3,AT,127,-0.008996008899229585,-0.05190748690842861,-1.5779558284733157,0.11708310414122369,0.23662912147635662
RQ3 arma/L: cqr_rolling vs native,RQ3,BE,127,-0.018141046217832763,-0.08349567537164089,-2.6623889300542825,0.00877075140987671,0.031414101159407085
RQ3 arma/L: cqr_rolling vs native,RQ3,ES,127,-0.06305407380782779,-0.15866148697270394,-4.371625672199475,2.5540983671579198e-05,0.00019716123983808665
RQ3 arma/L: cqr_rolling vs native,RQ3,FI,127,0.002665711833921431,0.015074735856050965,0.5707500016496448,0.5691856200928793,0.7175021367459836
RQ3 arma/L: cqr_rolling vs native,RQ3,FR,127,0.001354330708661332,0.006788919851274861,0.28558632562483977,0.7756639255256048,0.8679486140310702
RQ3 arma/L: cqr_rolling vs native,RQ3,GR,127,-0.43815734614862073,-0.24810721752470016,-3.912425575193466,0.00014861541741040263,0.000951829369291965
RQ3 arma/L: cqr_rolling vs native,RQ3,IE,127,-0.1874898412557897,-0.45427195865944653,-12.398665516447426,0.0,0.0
RQ3 arma/L: cqr_rolling vs native,RQ3,IT,127,0.04115942635517554,0.06137341198794066,1.4408571994341797,0.15210547629662763,0.28680516288419067
RQ3 arma/L: cqr_rolling vs native,RQ3,NL,127,-0.0005771423866957538,-0.0038048735003301886,-0.27721772687911556,0.782067222737207,0.873236153404945
RQ3 arma/L: cqr_rolling vs native,RQ3,PT,127,-0.19766703384613432,-0.2670693032592431,-4.809514507855366,4.238410979295892e-06,3.838850843466693e-05
RQ3 arma/L: cqr_static vs native,RQ3,AT,127,0.002656976682953836,0.015330907731564994,3.9735285388072223,0.00011846714888985588,0.0007828860791715873
RQ3 arma/L: cqr_static vs native,RQ3,BE,127,0.19489322820436566,0.8970123067260936,21.651140459314473,0.0,0.0
RQ3 arma/L: cqr_static vs native,RQ3,ES,127,0.19915508674258675,0.5011292735352797,15.644835434945653,0.0,0.0
RQ3 arma/L: cqr_static vs native,RQ3,FI,127,2.911178853958913e-05,0.00016462864325658862,0.007114238090598693,0.9943349587288266,0.9976434866805203
RQ3 arma/L: cqr_static vs native,RQ3,FR,127,0.006551181102362027,0.03283942625733074,2.179996679186965,0.031116282375455606,0.08623083356322177
RQ3 arma/L: cqr_static vs native,RQ3,GR,127,2.4082503499767034,1.3636751698622323,17.886563371159113,0.0,0.0
RQ3 arma/L: cqr_static vs native,RQ3,IE,127,-0.0024741293339790083,-0.005994605206316633,-24.303747159321972,0.0,0.0
RQ3 arma/L: cqr_static vs native,RQ3,IT,127,0.16486535410902978,0.24583309818162447,3.658061590648599,0.000372062050841393,0.0021209744477448645
RQ3 arma/L: cqr_static vs native,RQ3,NL,127,0.008425317200830116,0.05554481335680156,3.0938661832396743,0.0024340287230992796,0.010648342820143607
RQ3 arma/L: cqr_static vs native,RQ3,PT,127,1.216509054428121,1.6436338384456042,34.92620863409957,0.0,0.0
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,AT,127,-0.004871229205377165,-0.02810727168441603,-3.531149239860115,0.0005787130510608307,0.003141297700021632
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,BE,127,0.051627831706027645,0.23762139319345027,8.682432354236772,1.687538997430238e-14,4.2154724155807344e-13
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,ES,127,0.04880818773543278,0.12281489798975187,6.20295626568215,7.322073170001886e-09,1.0218178088639504e-07
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,FI,127,-0.00145732340751569,-0.008241237910859142,-0.5239037099731949,0.6012658408794624,0.7422228061459267
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,FR,127,0.0026761047391711257,0.013414641248006065,1.731301095657719,0.08584579904146739,0.1878235694067504
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,GR,127,0.7290280589349856,0.4128131704048614,6.890512941824822,2.368327756130384e-10,3.954600758565307e-09
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,IE,127,-0.10507989761416354,-0.2545996656949333,-18.068638346644565,0.0,0.0
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,IT,127,0.020886066918655098,0.031143514458751274,1.4239150581728528,0.15694280601062727,0.29348939168629057
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,NL,127,0.006951814389357207,0.045830586973025625,2.74987385281669,0.006839491891761806,0.025645527988023106
RQ3 arma/L: decay_ocp_cqr vs native,RQ3,PT,127,0.30961301791895607,0.41832030038945334,9.154832881446417,1.3322676295501878e-15,3.6173962376264884e-14
RQ3 arma/L: dtaci_cqr vs native,RQ3,AT,127,-0.0035946125225506027,-0.020741120261802793,-0.719047538357901,0.47344306437518524,0.6356340829889351
RQ3 arma/L: dtaci_cqr vs native,RQ3,BE,127,-0.02634512541175971,-0.12125563281147107,-3.610279218067217,0.0004399483980599417,0.002465211077509498
RQ3 arma/L: dtaci_cqr vs native,RQ3,ES,127,-0.07353407899836671,-0.18503207822237092,-4.618701737699716,9.395468659079143e-06,7.939743136123037e-05
RQ3 arma/L: dtaci_cqr vs native,RQ3,FI,127,0.001397027970287924,0.007900264149941943,0.2571125369931865,0.7975112931425357,0.8841572919714424
RQ3 arma/L: dtaci_cqr vs native,RQ3,FR,127,0.0004076757793722327,0.0020435763390462963,0.07799453784571528,0.9379561206759865,0.9684870828585659
RQ3 arma/L: dtaci_cqr vs native,RQ3,GR,127,-0.5018991858781083,-0.28420112450629,-5.321020485917989,4.5609409671243384e-07,4.902422777915919e-06
RQ3 arma/L: dtaci_cqr vs native,RQ3,IE,127,-0.18930108200840032,-0.45866044114351723,-11.480816154070913,0.0,0.0
RQ3 arma/L: dtaci_cqr vs native,RQ3,IT,127,0.024349569242494103,0.036307992534997155,0.7255038974989476,0.4694883009514905,0.6318186487322612
RQ3 arma/L: dtaci_cqr vs native,RQ3,NL,127,-0.00028113491935985294,-0.0018534123109790978,-0.12061059465127219,0.9041915950682995,0.9489415194019881
RQ3 arma/L: dtaci_cqr vs native,RQ3,PT,127,-0.24901678797790755,-0.33644831295886335,-7.443937560470819,1.343924971308752e-11,2.5203637975444915e-10
RQ3 arma/L: mondrian_cqr vs native,RQ3,AT,127,0.006782166856229683,0.039133491445375264,0.9184251569927223,0.3601510964491226,0.5297711923977789
RQ3 arma/L: mondrian_cqr vs native,RQ3,BE,127,0.014777360315955737,0.06801403099772331,1.3998608471344047,0.16401236926112173,0.30281071575334967
RQ3 arma/L: mondrian_cqr vs native,RQ3,ES,127,-0.018381326783214448,-0.04625250144573431,-0.8800732035098364,0.3804951329855646,0.5491799251996783
RQ3 arma/L: mondrian_cqr vs native,RQ3,FI,127,0.024177464398554345,0.13672478954378428,2.8387134079655394,0.005281839290044665,0.020693278774359433
RQ3 arma/L: mondrian_cqr vs native,RQ3,FR,127,0.0071181102362204455,0.03568129968344673,0.8642722018899394,0.38908073734813,0.5575514467046976
RQ3 arma/L: mondrian_cqr vs native,RQ3,GR,127,-0.27977566642413304,-0.15842336717108318,-2.7610091448744383,0.006623633017085684,0.02503909696834146
RQ3 arma/L: mondrian_cqr vs native,RQ3,IE,127,-0.16367279582166003,-0.39656528075958986,-10.780265566110337,0.0,0.0
RQ3 arma/L: mondrian_cqr vs native,RQ3,IT,127,0.05967064666270436,0.08897575854471289,1.6072867335945669,0.11049457144697294,0.22702372057455045
RQ3 arma/L: mondrian_cqr vs native,RQ3,NL,127,0.009820413002577631,0.06474213306308968,1.3849336129414112,0.16852005139136006,0.3088050824351654
RQ3 arma/L: mondrian_cqr vs native,RQ3,PT,127,-0.14166606764641237,-0.19140600860766177,-3.356244654644489,0.0010447276685823237,0.0052194594322372894
RQ3 arma/L: pid_cqr vs native,RQ3,AT,127,-0.00637666733311589,-0.03679373595789394,-1.4274787857728455,0.1559156076140622,0.29213713948939585
RQ3 arma/L: pid_cqr vs native,RQ3,BE,127,-0.02046979208382797,-0.09421392207667659,-2.8621697616607884,0.0049286064948728114,0.019560945383209856
RQ3 arma/L: pid_cqr vs native,RQ3,ES,127,-0.055633562918652735,-0.13998942947231297,-3.564508300230995,0.0005158169864039053,0.002838129585984483
RQ3 arma/L: pid_cqr vs native,RQ3,FI,127,0.002031599779165037,0.011488799969452013,0.5240435529295725,0.6011688582913828,0.7422228061459267
RQ3 arma/L: pid_cqr vs native,RQ3,FR,127,-0.0023526419807637423,-0.01179320364221584,-0.5135227541239861,0.6084850064944223,0.74861876784036
RQ3 arma/L: pid_cqr vs native,RQ3,GR,127,-0.37487158914967417,-0.21227156803492297,-2.936910037341257,0.003942373369956842,0.016130872687506053
RQ3 arma/L: pid_cqr vs native,RQ3,IE,127,-0.17842275955389786,-0.432303189917335,-11.304944153641088,0.0,0.0
RQ3 arma/L: pid_cqr vs native,RQ3,IT,127,-6.961599273536648e-05,-0.00010380540696140877,-0.002450627753155236,0.9980485596326325,0.9993287245319529
RQ3 arma/L: pid_cqr vs native,RQ3,NL,127,0.0008509886166776583,0.005610234339600428,0.31773994279695816,0.7512081779425708,0.8526526847058078
RQ3 arma/L: pid_cqr vs native,RQ3,PT,127,-0.18905914466938498,-0.2554391243657979,-6.799601483562869,3.7620595527698697e-10,6.134219819072542e-09
RQ3 arma/L: pid_local_cqr vs native,RQ3,AT,127,-0.0038432590626911877,-0.022175825048308593,-0.8728054626751075,0.38442939629242723,0.553170870932306
RQ3 arma/L: pid_local_cqr vs native,RQ3,BE,127,-0.02360830352022572,-0.10865918222854425,-2.7941289984175093,0.006017731029569262,0.023105275302588407
RQ3 arma/L: pid_local_cqr vs native,RQ3,ES,127,-0.022996764482369987,-0.05786621907181073,-1.2135518447557239,0.2271888606696537,0.38273386427892836
RQ3 arma/L: pid_local_cqr vs native,RQ3,FI,127,0.006405056219167859,0.03622091833725108,1.2610594746832484,0.20961736496585637,0.3611699390845008
RQ3 arma/L: pid_local_cqr vs native,RQ3,FR,127,0.0006960629921259138,0.0034891890398411323,0.12870432833761838,0.8977968213238099,0.9452181361429633
RQ3 arma/L: pid_local_cqr vs native,RQ3,GR,127,-0.0768882054482623,-0.04353805518021646,-0.7017439399470232,0.48413304851810857,0.6457773765173441
RQ3 arma/L: pid_local_cqr vs native,RQ3,IE,127,-0.1538701881639796,-0.3728143951073408,-9.46279847771041,2.220446049250313e-16,6.317396618482098e-15
RQ3 arma/L: pid_local_cqr vs native,RQ3,IT,127,-0.014183369411540218,-0.02114902590624069,-0.4380264247696322,0.6621171340690306,0.7888060858949058
RQ3 arma/L: pid_local_cqr vs native,RQ3,NL,127,0.0006537085752521753,0.00430964436550178,0.2035212459988563,0.8390559654465481,0.9101006520562211
RQ3 arma/L: pid_local_cqr vs native,RQ3,PT,127,-0.08638884745068674,-0.11672057221227511,-2.936936902806129,0.0039420540596386555,0.016130872687506053
RQ3 arma/L: pid_tan_cqr vs native,RQ3,AT,127,0.017874734604389195,0.10313824306559183,2.6667590329434856,0.008663647704590938,0.031113152926405475
RQ3 arma/L: pid_tan_cqr vs native,RQ3,BE,127,-0.003431875678363971,-0.01579549349666673,-0.46389819048941,0.6435211310504696,0.7753042275316259
RQ3 arma/L: pid_tan_cqr vs native,RQ3,ES,127,-0.02943727024004126,-0.07407231264607757,-1.4563996780862694,0.14776955851560913,0.28071078456507875
RQ3 arma/L: pid_tan_cqr vs native,RQ3,FI,127,0.03455100328483109,0.1953876789878592,4.069812768661853,8.247893872281864e-05,0.000562315471969435
RQ3 arma/L: pid_tan_cqr vs native,RQ3,FR,127,0.032696943415068354,0.16390156909753467,3.241125487203251,0.0015233085321590956,0.007174254738562256
RQ3 arma/L: pid_tan_cqr vs native,RQ3,GR,127,-0.46271661522877816,-0.2620139384081415,-3.315536896205433,0.001195043401148732,0.005825953192953811
RQ3 arma/L: pid_tan_cqr vs native,RQ3,IE,127,-0.1717172479077529,-0.416056304811959,-9.36926331567488,4.440892098500626e-16,1.2408667183506224e-14
