model,regime,seed,cp_method,median_skill,mean_skill,mean_coverage,mean_abs_gap,median_mae_ratio,n_countries,valid_country_share,validity_flag,seed_span,median_skill_exie,mean_coverage_exie,d_skill
arma,L,42,aci_cqr,0.05190935897050214,0.0832154027091906,0.8062992125984252,0.021732283464566914,1.0173893383146013,10,1.0,True,0.0,-0.006236333351752332,0.8092738407699037,-0.05814569232225447
arma,L,42,agaci_cqr,0.04721345525395709,0.0887280096158948,0.7937007874015748,0.01669291338582677,1.0173893383146013,10,1.0,True,0.0,-0.009634839808053464,0.7944006999125109,-0.056848295062010556
arma,L,42,cqr_rolling,0.03716301933629268,0.07532599836848088,0.8267716535433071,0.031811023622047206,1.0173893383146013,10,0.9,True,0.0,-0.006788919851274944,0.8276465441819773,-0.043951939187567624
arma,L,42,cqr_static,-0.18202045752536067,-0.5179989808349887,0.931496062992126,0.1466141732283464,1.0173893383146013,10,0.1,False,0.0,-0.2695038839181416,0.9247594050743656,-0.08748342639278095
arma,L,42,decay_ocp_cqr,-0.07431923432579302,-0.14218312801835087,0.9220472440944881,0.12299212598425194,1.0173893383146013,10,0.3,False,0.0,-0.08482280474880399,0.9142607174103237,-0.010503570423010977
arma,L,42,dtaci_cqr,0.058415669812322046,0.0931119338374892,0.8125984251968503,0.01606299212598421,1.0173893383146013,10,1.0,True,0.0,-0.0020435763390462824,0.8136482939632547,-0.06045924615136833
arma,L,42,mondrian_cqr,-0.05303802376447553,-0.007144529611048012,0.8551181102362205,0.05511811023622043,1.0173893383146013,10,0.8,True,0.0,-0.07039474784550426,0.8538932633420822,-0.01735672408102873
arma,L,42,native,-0.03495346667260535,-0.043082095081641694,0.9039370078740158,0.10393700787401569,1.0173893383146013,10,0.4,False,0.0,-0.030914715569432705,0.8941382327209099,0.004038751103172644
arma,L,42,pid_cqr,0.05181320443555576,0.07349879937486463,0.8149606299212598,0.014960629921259794,1.0173893383146013,10,0.9,True,0.0,0.0117932036422157,0.8153980752405949,-0.04002000079334006
arma,L,42,pid_local_cqr,-0.0030054744350591633,0.026808257219572574,0.8181102362204724,0.01905511811023617,1.0173893383146013,10,0.9,True,0.0,-0.0034891890398409675,0.8171478565179353,-0.00048371460478180417
arma,L,42,pid_tan_cqr,-0.05629669355867578,-0.02250265885508492,0.8173228346456692,0.01732283464566924,1.0173893383146013,10,0.8,True,0.0,-0.1260081637662378,0.8188976377952756,-0.06971147020756202
arma,L,42,saocp_cqr,-0.08348736637855836,-0.09914981254166862,0.9291338582677164,0.12913385826771645,1.0173893383146013,10,0.0,False,0.0,-0.08928932022900238,0.9221347331583551,-0.005801953850444019
arma,L,42,sfogd_cqr,-0.02571999774867384,0.002690967785927534,0.8023622047244094,0.005196850393700769,1.0173893383146013,10,0.7,True,0.0,-0.0260208416108465,0.8031496062992126,-0.0003008438621726617
arma,L,42,spci_cqr,0.02542236819768512,0.052252759744009905,0.7559055118110236,0.04472440944881895,1.0173893383146013,10,0.9,True,0.0,-0.016052162446324347,0.7602799650043744,-0.041474530644009466
arma_monthly,L,42,aci_cqr,0.049120625898289194,0.0865756036168224,0.8023622047244094,0.018740157480314944,1.013710100950241,10,1.0,True,0.0,-0.013005517970901437,0.8040244969378827,-0.06212614386919063
arma_monthly,L,42,agaci_cqr,0.057381690957884424,0.09012892967506073,0.8,0.013858267716535422,1.013710100950241,10,1.0,True,0.0,-0.008595941955136466,0.7996500437445319,-0.06597763291302089
arma_monthly,L,42,cqr_rolling,0.05507678637996821,0.083354635784663,0.8228346456692913,0.03102362204724409,1.013710100950241,10,1.0,True,0.0,-0.015294804897494352,0.8223972003499562,-0.07037159127746256
arma_monthly,L,42,cqr_static,-0.09051439431344843,-0.27558703979786553,0.9251968503937007,0.13559055118110233,1.013710100950241,10,0.2,False,0.0,-0.06718990259652546,0.9168853893263341,0.023324491716922968
arma_monthly,L,42,decay_ocp_cqr,-0.049339309376622564,-0.06743138708344981,0.9102362204724409,0.11748031496062987,1.013710100950241,10,0.3,False,0.0,-0.049905841942069706,0.9011373578302712,-0.000566532565447142
arma_monthly,L,42,dtaci_cqr,0.06119862448265845,0.09517052963259257,0.8094488188976378,0.017007874015748003,1.013710100950241,10,1.0,True,0.0,-0.00506244363481545,0.811023622047244,-0.0662610681174739
arma_monthly,L,42,mondrian_cqr,-0.04147073301273679,-0.011231262096329886,0.8606299212598426,0.06062992125984248,1.013710100950241,10,0.8,True,0.0,-0.08342082619575786,0.8635170603674541,-0.041950093183021064
arma_monthly,L,42,native,-0.03505346822968369,-0.031165174203499946,0.9007874015748032,0.1007874015748031,1.013710100950241,10,0.4,False,0.0,-0.03126723794555186,0.8906386701662292,0.0037862302841318307
arma_monthly,L,42,pid_cqr,0.05801640330862079,0.07926078748178789,0.8133858267716535,0.013385826771653498,1.013710100950241,10,0.9,True,0.0,0.011970820731348142,0.8136482939632547,-0.04604558257727265
arma_monthly,L,42,pid_local_cqr,-0.015778401090644767,0.05270118823723474,0.8149606299212598,0.015905511811023575,1.013710100950241,10,0.9,True,0.0,-0.028245230230580898,0.8136482939632547,-0.01246682913993613
arma_monthly,L,42,pid_tan_cqr,-0.09837286938823286,-0.03210048626929688,0.8196850393700787,0.019685039370078684,1.013710100950241,10,0.8,True,0.0,-0.14072774743213645,0.820647419072616,-0.04235487804390359
arma_monthly,L,42,saocp_cqr,-0.07343758667442457,-0.08865829701089656,0.9259842519685039,0.12598425196850385,1.013710100950241,10,0.0,False,0.0,-0.09151166696526891,0.9186351706036745,-0.01807408029084434
arma_monthly,L,42,sfogd_cqr,-0.0301662878413419,0.02544777094384939,0.8031496062992126,0.005984251968503917,1.013710100950241,10,0.9,True,0.0,-0.03448935116096985,0.8031496062992126,-0.004323063319627951
arma_monthly,L,42,spci_cqr,0.02521887683790236,0.05353931129805274,0.7677165354330708,0.03228346456692919,1.013710100950241,10,1.0,True,0.0,-0.02000772751894342,0.7716535433070866,-0.04522660435684578
lgbm,G,42,aci_cqr,0.12246176651264051,0.09983914437411712,0.8299212598425196,0.03401574803149604,1.0472634168958308,10,1.0,True,0.0,0.0886614749048037,0.8355205599300087,-0.03380029160783682
lgbm,G,42,agaci_cqr,0.1276267739315468,0.1046795703143432,0.8251968503937007,0.03181102362204722,1.0472634168958308,10,1.0,True,0.0,0.09602243885702966,0.8302712160979877,-0.031604335074517154
lgbm,G,42,cqr_rolling,0.12900048420830063,0.10461241180234464,0.8251968503937007,0.027716535433070823,1.0472634168958308,10,0.9,True,0.0,0.09791405174054557,0.8276465441819773,-0.031086432467755054
lgbm,G,42,cqr_static,0.022913339101141073,0.038492029803477434,0.8622047244094488,0.1044094488188976,1.0472634168958308,10,0.4,False,0.0,0.005392160913919142,0.8503937007874015,-0.01752117818722193
lgbm,G,42,decay_ocp_cqr,0.1393542665117644,0.12317217291493543,0.8236220472440945,0.050393700787401574,1.0472634168958308,10,0.7,True,0.0,0.1197273065259834,0.8223972003499562,-0.019626959985781012
lgbm,G,42,dtaci_cqr,0.11994331169006911,0.10473325616999123,0.8251968503937007,0.028661417322834604,1.0472634168958308,10,1.0,True,0.0,0.0912572279531132,0.8293963254593176,-0.028686083736955914
lgbm,G,42,mondrian_cqr,0.049204060098216484,0.0311437677922324,0.8653543307086615,0.06535433070866137,1.0472634168958308,10,0.6,False,0.0,0.0031074878813450724,0.8661417322834646,-0.04609657221687141
lgbm,G,42,native,0.09589196720066323,0.09842818853380234,0.8685039370078741,0.08236220472440942,1.0472634168958308,10,0.5,False,0.0,0.09481727542152807,0.8565179352580927,-0.0010746917791351618
lgbm,G,42,pid_cqr,0.10597383445894931,0.10007270826233856,0.8047244094488188,0.010708661417322806,1.0472634168958308,10,1.0,True,0.0,0.08140894671355114,0.8066491688538933,-0.024564887745398167
lgbm,G,42,pid_local_cqr,0.05785049775441081,0.07228113023559687,0.8094488188976378,0.012283464566929104,1.0472634168958308,10,1.0,True,0.0,0.034401571211999826,0.8075240594925635,-0.023448926542410986
lgbm,G,42,pid_tan_cqr,-0.007994400050551742,-0.03312695671730652,0.815748031496063,0.015748031496062943,1.0472634168958308,10,0.7,True,0.0,-0.009121857621889218,0.8171478565179353,-0.0011274575713374757
lgbm,G,42,saocp_cqr,0.032194234183660575,0.026446860860763467,0.9062992125984252,0.10629921259842516,1.0472634168958308,10,0.3,False,0.0,0.022670223693069036,0.8985126859142607,-0.009524010490591539
lgbm,G,42,sfogd_cqr,0.05762659730412667,0.053427937155607896,0.8007874015748031,0.005511811023622038,1.0472634168958308,10,0.9,True,0.0,0.035783599862807214,0.8013998250218723,-0.021842997441319456
lgbm,G,42,spci_cqr,0.07765899964763168,0.07488354470090074,0.7677165354330708,0.03228346456692919,1.0472634168958308,10,1.0,True,0.0,0.03324742513870527,0.7699037620297463,-0.04441157450892641
lgbm,GI,42,aci_cqr,0.08814427476928366,0.08008188990039966,0.8173228346456692,0.026456692913385805,1.0699379878423252,10,1.0,True,0.0,0.05133736065484806,0.8232720909886264,-0.036806914114435596
lgbm,GI,42,agaci_cqr,0.08822043902981136,0.08261955078074142,0.8102362204724409,0.022519685039370064,1.0699379878423252,10,1.0,True,0.0,0.05257504001889701,0.8153980752405949,-0.03564539901091435
lgbm,GI,42,cqr_rolling,0.09057471474737866,0.0841514788691195,0.8118110236220473,0.02503937007874015,1.0699379878423252,10,1.0,True,0.0,0.05333432269970373,0.8171478565179353,-0.03724039204767493
lgbm,GI,42,cqr_static,0.019612832424560134,0.019005883356809684,0.8291338582677165,0.08740157480314961,1.0699379878423252,10,0.6,False,0.0,0.009153465557372398,0.8442694663167104,-0.010459366867187736
lgbm,GI,42,decay_ocp_cqr,0.08399474432832316,0.097989156041659,0.8125984251968503,0.03559055118110238,1.0699379878423252,10,0.9,True,0.0,0.0760469205665848,0.8127734033245845,-0.00794782376173836
lgbm,GI,42,dtaci_cqr,0.08635746437079594,0.08056784671409659,0.8173228346456692,0.02299212598425192,1.0699379878423252,10,1.0,True,0.0,0.050470997656129946,0.8223972003499562,-0.035886466714666
