label,rq,a,b,median_dbar_norm,share_a_better,share_sig,median_p,t_panel,n_countries,median_q,share_sig_fdr
RQ2 lgbm/G (pid_cqr): adaptiv vs const,RQ2,lgbm/G/42/pid_cqr,lgbm_const/G/42/pid_cqr,-0.009003465560360888,0.6,0.2,0.4060395909650635,-0.18578165889841208,10,0.5695323550686587,0.2
RQ2 lgbm/G (pid_local_cqr): adaptiv vs const,RQ2,lgbm/G/42/pid_local_cqr,lgbm_const/G/42/pid_local_cqr,-0.002045024607014013,0.5,0.3,0.4836200236925572,-0.039896156061280684,10,0.6438876850167172,0.1
RQ2 lgbm/G (pid_tan_cqr): adaptiv vs const,RQ2,lgbm/G/42/pid_tan_cqr,lgbm_const/G/42/pid_tan_cqr,-0.014178153989010216,0.6,0.3,0.2946278406093433,-0.7902374679674937,10,0.4598284775222574,0.3
RQ2 lgbm/G (saocp_cqr): adaptiv vs const,RQ2,lgbm/G/42/saocp_cqr,lgbm_const/G/42/saocp_cqr,-0.006645391170350942,0.7,0.3,0.6105464801536011,-0.8313793456332996,10,0.7471670377517339,0.3
RQ2 lgbm/G (sfogd_cqr): adaptiv vs const,RQ2,lgbm/G/42/sfogd_cqr,lgbm_const/G/42/sfogd_cqr,-0.002878832670462761,0.5,0.3,0.3128886988452153,-0.03402428259575421,10,0.46817569932990144,0.1
RQ2 lgbm/G (spci_cqr): adaptiv vs const,RQ2,lgbm/G/42/spci_cqr,lgbm_const/G/42/spci_cqr,-0.009947068664580033,0.5,0.1,0.41361154398563427,-0.5485517899764798,10,0.5787542332981491,0.1
RQ2 lgbm/L (aci_cqr): adaptiv vs const,RQ2,lgbm/L/42/aci_cqr,lgbm_const/L/42/aci_cqr,-0.02076849866484219,0.7,0.2,0.5232141745519313,-1.1102473683980765,10,0.6801168443483321,0.1
RQ2 lgbm/L (agaci_cqr): adaptiv vs const,RQ2,lgbm/L/42/agaci_cqr,lgbm_const/L/42/agaci_cqr,-0.005469112292336421,0.6,0.2,0.5521902794082467,-1.3485067320125772,10,0.7037241383650454,0.1
RQ2 lgbm/L (cqr_rolling): adaptiv vs const,RQ2,lgbm/L/42/cqr_rolling,lgbm_const/L/42/cqr_rolling,-0.03979684011922837,0.7,0.3,0.2935981915876401,-1.8589098037815082,10,0.4584116134327251,0.2
RQ2 lgbm/L (cqr_static): adaptiv vs const,RQ2,lgbm/L/42/cqr_static,lgbm_const/L/42/cqr_static,-0.07217254313693611,0.9,0.6,0.004728573974041694,-7.188997004912711,10,0.017913147671041504,0.6
